date,time_kst,분류,항목,금일(원/kg),전일(원/kg)
2025-09-04,12:10,육계(공장도가),9~10호,3923,3923
2025-09-04,12:10,육계(공장도가),11호,3768,3768
2025-09-04,12:10,육계(공장도가),12호,3524,3524
2025-09-04,12:10,생계,대,2190,2190
2025-09-04,12:10,생계,중,2290,2290
2025-09-04,12:10,생계,소,2390,2390
2025-09-04,14:35,육계(공장도가),9~10호,3923,3923
2025-09-04,14:35,육계(공장도가),11호,3768,3768
2025-09-04,14:35,육계(공장도가),12호,3524,3524
2025-09-04,14:35,생계,대,2190,2190
2025-09-04,14:35,생계,중,2290,2290
2025-09-04,14:35,생계,소,2390,2390
2025-09-05,12:21,육계(공장도가),9~10호,3923,3923
2025-09-05,12:21,육계(공장도가),11호,3768,3768
2025-09-05,12:21,육계(공장도가),12호,3524,3524
2025-09-05,12:21,생계,대,2190,2190
2025-09-05,12:21,생계,중,2290,2290
2025-09-05,12:21,생계,소,2390,2390
2025-09-05,14:37,육계(공장도가),9~10호,3923,3923
2025-09-05,14:37,육계(공장도가),11호,3768,3768
2025-09-05,14:37,육계(공장도가),12호,3524,3524
2025-09-05,14:37,생계,대,2190,2190
2025-09-05,14:37,생계,중,2290,2290
2025-09-05,14:37,생계,소,2390,2390
2025-09-06,12:08,육계(공장도가),9~10호,3923,3923
2025-09-06,12:08,육계(공장도가),11호,3768,3768
2025-09-06,12:08,육계(공장도가),12호,3524,3524
2025-09-06,12:08,생계,대,2190,2190
2025-09-06,12:08,생계,중,2290,2290
2025-09-06,12:08,생계,소,2390,2390
2025-09-06,14:34,육계(공장도가),9~10호,3923,3923
2025-09-06,14:34,육계(공장도가),11호,3768,3768
2025-09-06,14:34,육계(공장도가),12호,3524,3524
2025-09-06,14:34,생계,대,2190,2190
2025-09-06,14:34,생계,중,2290,2290
2025-09-06,14:34,생계,소,2390,2390
2025-09-07,12:25,육계(공장도가),9~10호,3923,3923
2025-09-07,12:25,육계(공장도가),11호,3768,3768
2025-09-07,12:25,육계(공장도가),12호,3524,3524
2025-09-07,12:25,생계,대,2190,2190
2025-09-07,12:25,생계,중,2290,2290
2025-09-07,12:25,생계,소,2390,2390
2025-09-07,14:33,육계(공장도가),9~10호,3923,3923
2025-09-07,14:33,육계(공장도가),11호,3768,3768
2025-09-07,14:33,육계(공장도가),12호,3524,3524
2025-09-07,14:33,생계,대,2190,2190
2025-09-07,14:33,생계,중,2290,2290
2025-09-07,14:33,생계,소,2390,2390
2025-09-08,12:32,육계(공장도가),9~10호,3923,3923
2025-09-08,12:32,육계(공장도가),11호,3768,3768
2025-09-08,12:32,육계(공장도가),12호,3524,3524
2025-09-08,12:32,생계,대,2190,2190
2025-09-08,12:32,생계,중,2290,2290
2025-09-08,12:32,생계,소,2390,2390
2025-09-08,14:38,육계(공장도가),9~10호,3923,3923
2025-09-08,14:38,육계(공장도가),11호,3768,3768
2025-09-08,14:38,육계(공장도가),12호,3524,3524
2025-09-08,14:38,생계,대,2190,2190
2025-09-08,14:38,생계,중,2290,2290
2025-09-08,14:38,생계,소,2390,2390
2025-09-09,12:25,육계(공장도가),9~10호,3769,3923
2025-09-09,12:25,육계(공장도가),11호,3621,3768
2025-09-09,12:25,육계(공장도가),12호,3379,3524
2025-09-09,12:25,생계,대,2090,2190
2025-09-09,12:25,생계,중,2190,2290
2025-09-09,12:25,생계,소,2290,2390
2025-09-09,14:37,육계(공장도가),9~10호,3769,3923
2025-09-09,14:37,육계(공장도가),11호,3621,3768
2025-09-09,14:37,육계(공장도가),12호,3379,3524
2025-09-09,14:37,생계,대,2090,2190
2025-09-09,14:37,생계,중,2190,2290
2025-09-09,14:37,생계,소,2290,2390
2025-09-10,12:08,육계(공장도가),9~10호,3769,3769
2025-09-10,12:08,육계(공장도가),11호,3621,3621
2025-09-10,12:08,육계(공장도가),12호,3379,3379
2025-09-10,12:08,생계,대,2090,2090
2025-09-10,12:08,생계,중,2190,2190
2025-09-10,12:08,생계,소,2290,2290
2025-09-10,14:34,육계(공장도가),9~10호,3769,3769
2025-09-10,14:34,육계(공장도가),11호,3621,3621
2025-09-10,14:34,육계(공장도가),12호,3379,3379
2025-09-10,14:34,생계,대,2090,2090
2025-09-10,14:34,생계,중,2190,2190
2025-09-10,14:34,생계,소,2290,2290
2025-09-11,12:24,육계(공장도가),9~10호,3769,3769
2025-09-11,12:24,육계(공장도가),11호,3621,3621
2025-09-11,12:24,육계(공장도가),12호,3379,3379
2025-09-11,12:24,생계,대,2090,2090
2025-09-11,12:24,생계,중,2190,2190
2025-09-11,12:24,생계,소,2290,2290
2025-09-11,14:36,육계(공장도가),9~10호,3769,3769
2025-09-11,14:36,육계(공장도가),11호,3621,3621
2025-09-11,14:36,육계(공장도가),12호,3379,3379
2025-09-11,14:36,생계,대,2090,2090
2025-09-11,14:36,생계,중,2190,2190
2025-09-11,14:36,생계,소,2290,2290
2025-09-12,12:09,육계(공장도가),9~10호,3769,3769
2025-09-12,12:09,육계(공장도가),11호,3621,3621
2025-09-12,12:09,육계(공장도가),12호,3379,3379
2025-09-12,12:09,생계,대,2090,2090
2025-09-12,12:09,생계,중,2190,2190
